candidate,fold_id,game_id,game_date,home_team,away_team,research_home_win_probability,outcome
logistic_core_c0.05_balanced,4,823038,2026-06-27,Cardinals,Marlins,0.5350064793517377,0
logistic_core_c0.05_balanced,4,823207,2026-06-28,Giants,Braves,0.5620511039197815,1
logistic_core_c0.05_balanced,4,823283,2026-06-28,Padres,Dodgers,0.5180702307312623,0
logistic_core_c0.05_balanced,4,823364,2026-06-27,Pirates,Reds,0.4078698231664351,0
logistic_core_c0.05_balanced,4,823609,2026-06-27,Mets,Phillies,0.5317435017567471,1
logistic_core_c0.05_balanced,4,823689,2026-06-27,Twins,Rockies,0.5868873585506748,0
logistic_core_c0.05_balanced,4,823770,2026-06-27,Brewers,Cubs,0.5680246457122483,0
logistic_core_c0.05_balanced,4,824015,2026-06-28,Angels,Athletics,0.5877966011572688,1
logistic_core_c0.05_balanced,4,824257,2026-06-27,Tigers,Astros,0.5353119709123745,0
logistic_core_c0.05_balanced,4,824421,2026-06-27,Guardians,Mariners,0.4489468570396521,1
logistic_core_c0.05_balanced,4,824581,2026-06-27,White Sox,Royals,0.5138870516259156,1
logistic_core_c0.05_balanced,4,824745,2026-06-27,Red Sox,Yankees,0.48322589895653156,1
logistic_core_c0.05_balanced,4,824825,2026-06-27,Orioles,Nationals,0.47185762173410134,0
logistic_core_c0.05_balanced,4,822795,2026-06-28,Blue Jays,Rangers,0.33979901671213836,0
logistic_core_c0.05_balanced,4,822959,2026-06-28,Rays,D-backs,0.6155223986923255,1
logistic_core_c0.05_balanced,4,823037,2026-06-28,Cardinals,Marlins,0.5408022426264505,1
logistic_core_c0.05_balanced,4,823204,2026-06-28,Giants,Braves,0.5327317742692763,1
logistic_core_c0.05_balanced,4,823281,2026-06-28,Padres,Dodgers,0.6084132996461729,0
logistic_core_c0.05_balanced,4,823362,2026-06-28,Pirates,Reds,0.5131043501905527,1
logistic_core_c0.05_balanced,4,823608,2026-06-28,Mets,Phillies,0.5523635637358955,0
logistic_core_c0.05_balanced,4,823686,2026-06-28,Twins,Rockies,0.491649051647472,1
logistic_core_c0.05_balanced,4,823769,2026-06-28,Brewers,Cubs,0.4875161573565236,0
logistic_core_c0.05_balanced,4,824011,2026-06-28,Angels,Athletics,0.5122082206171277,1
logistic_core_c0.05_balanced,4,824256,2026-06-28,Tigers,Astros,0.4247198459428153,0
logistic_core_c0.05_balanced,4,824422,2026-06-28,Guardians,Mariners,0.4782527523395054,1
logistic_core_c0.05_balanced,4,824580,2026-06-28,White Sox,Royals,0.5231103198211955,0
logistic_core_c0.05_balanced,4,824744,2026-06-28,Red Sox,Yankees,0.49908703417989314,1
logistic_core_c0.05_balanced,4,824821,2026-06-28,Orioles,Nationals,0.5148820267318861,0
logistic_core_c0.05_balanced,4,822792,2026-06-29,Blue Jays,Mets,0.5043060805666725,1
logistic_core_c0.05_balanced,4,823121,2026-06-30,Mariners,Angels,0.6623991684848042,1
logistic_core_c0.05_balanced,4,823444,2026-06-29,Phillies,Pirates,0.3843159170907751,0
logistic_core_c0.05_balanced,4,823529,2026-06-29,Yankees,Tigers,0.39902601593104164,0
logistic_core_c0.05_balanced,4,823771,2026-06-29,Brewers,Reds,0.4928457390616514,1
logistic_core_c0.05_balanced,4,824176,2026-06-30,Astros,Twins,0.5351900013234384,0
logistic_core_c0.05_balanced,4,824339,2026-06-30,Rockies,Marlins,0.4050474554501733,0
logistic_core_c0.05_balanced,4,824420,2026-06-29,Guardians,Rangers,0.4823753412084883,0
logistic_core_c0.05_balanced,4,824662,2026-06-30,Cubs,Padres,0.502276612701069,1
logistic_core_c0.05_balanced,4,824741,2026-06-29,Red Sox,Nationals,0.525583286133937,1
logistic_core_c0.05_balanced,4,824822,2026-06-29,Orioles,White Sox,0.45940590877224563,0
logistic_core_c0.05_balanced,4,824986,2026-06-30,Athletics,Dodgers,0.610251899454811,0
logistic_core_c0.05_balanced,4,825065,2026-06-30,D-backs,Giants,0.5708631871775647,1
logistic_core_c0.05_balanced,4,822793,2026-06-30,Blue Jays,Mets,0.4571725269084915,0
logistic_core_c0.05_balanced,4,823122,2026-07-01,Mariners,Angels,0.5070692519711256,1
logistic_core_c0.05_balanced,4,823445,2026-06-30,Phillies,Pirates,0.5163900689259633,1
logistic_core_c0.05_balanced,4,823528,2026-06-30,Yankees,Tigers,0.47623252383834064,0
logistic_core_c0.05_balanced,4,823768,2026-06-30,Brewers,Reds,0.4443431066632385,1
logistic_core_c0.05_balanced,4,824096,2026-06-30,Royals,Rays,0.48214325687726517,0
logistic_core_c0.05_balanced,4,824175,2026-07-01,Astros,Twins,0.4415813840475438,1
logistic_core_c0.05_balanced,4,824338,2026-07-01,Rockies,Marlins,0.36249786467353695,0
logistic_core_c0.05_balanced,4,824418,2026-06-30,Guardians,Rangers,0.48040805350366605,0
logistic_core_c0.05_balanced,4,824661,2026-07-01,Cubs,Padres,0.4485744916591502,1
logistic_core_c0.05_balanced,4,824742,2026-06-30,Red Sox,Nationals,0.4670424214455052,0
logistic_core_c0.05_balanced,4,824819,2026-06-30,Orioles,White Sox,0.4432991187438253,0
logistic_core_c0.05_balanced,4,824907,2026-06-30,Braves,Cardinals,0.5499449010654883,0
logistic_core_c0.05_balanced,4,824984,2026-07-01,Athletics,Dodgers,0.45876956148626014,0
logistic_core_c0.05_balanced,4,825066,2026-07-01,D-backs,Giants,0.4753197139265083,1
logistic_core_c0.1_plain,1,823701,2026-06-03,Twins,White Sox,0.5515462268564522,0
logistic_core_c0.1_plain,1,823780,2026-06-03,Brewers,Giants,0.5462138353618664,0
logistic_core_c0.1_plain,1,824024,2026-06-04,Angels,Rockies,0.4870573143486037,1
logistic_core_c0.1_plain,1,824188,2026-06-04,Astros,Pirates,0.5188916993575583,1
logistic_core_c0.1_plain,1,824509,2026-06-03,Reds,Royals,0.5637322863826174,0
logistic_core_c0.1_plain,1,824671,2026-06-04,Cubs,Athletics,0.4307184739564754,0
logistic_core_c0.1_plain,1,824755,2026-06-03,Red Sox,Orioles,0.6023809945074076,1
logistic_core_c0.1_plain,1,824917,2026-06-03,Braves,Blue Jays,0.4859525749565251,1
logistic_core_c0.1_plain,1,825077,2026-06-04,D-backs,Dodgers,0.2926892113240837,0
logistic_core_c0.1_plain,1,823457,2026-06-04,Phillies,Padres,0.6697798893007192,1
logistic_core_c0.1_plain,1,823542,2026-06-04,Yankees,Guardians,0.5336827889445389,1
logistic_core_c0.1_plain,1,823698,2026-06-04,Twins,Royals,0.5333919971621377,0
logistic_core_c0.1_plain,1,823779,2026-06-04,Brewers,Giants,0.5757367159358425,0
logistic_core_c0.1_plain,1,824185,2026-06-05,Astros,Pirates,0.5832386328610734,0
logistic_core_c0.1_plain,1,824672,2026-06-05,Cubs,Athletics,0.4203733624961733,1
logistic_core_c0.1_plain,1,824753,2026-06-04,Red Sox,Orioles,0.5861692897441944,0
logistic_core_c0.1_plain,1,824919,2026-06-04,Braves,Blue Jays,0.505107720963655,0
logistic_core_c0.1_plain,1,825076,2026-06-05,D-backs,Dodgers,0.32067423345829155,1
logistic_core_c0.1_plain,1,822810,2026-06-05,Blue Jays,Orioles,0.5664930355932785,0
logistic_core_c0.1_plain,1,822892,2026-06-06,Rangers,Guardians,0.39280914445807397,1
logistic_core_c0.1_plain,1,823049,2026-06-06,Cardinals,Reds,0.5764497188122003,1
logistic_core_c0.1_plain,1,823293,2026-06-06,Padres,Mets,0.3752169073025639,0
logistic_core_c0.1_plain,1,823455,2026-06-05,Phillies,White Sox,0.5548432525562935,1
